id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
704,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Male,30,Bachelor Degree,56,Excellent,Very Good,105,700,I avoid letting kids use my tablet's outdated browser because I'm always worried about them getting phished or their private info being stolen online.
705,Kg. Tanjong Bunut,Mukim Kilanas,Brunei-Muara,Female,42,National Diploma,58,Very Good,Good,104,220,It's hard when my work and friends are all on this network from home.
706,Kg. Mumong B,Mukim Kuala Belait,Belait,Male,50,Lower Secondary,127,Good,Good,104,110,I struggle to switch providers because switching internet plans and setting everything up again would just be so expensive.
707,Pekan Seria Kawasan 1,Mukim Seria,Belait,Male,28,O Level,264,Good,Fair,104,180,I'm really limited in what I can download when you upload more videos to your family's shared account.
708,Kg. Mata-Mata,Mukim Gadong B,Brunei-Muara,Female,16,A Level,18,Good,Very Good,104,270,"To be honest, it's pretty easy for me to stay connected everywhere I go since my company pays for most of our wireless plans on the road."
709,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Female,18,Bachelor Degree,44,Good,Good,29,120,It's just not worth it for me to pay that much for internet when I can get by with minimal connections through my neighbor's WiFi.
710,Pekan Bangar,Mukim Bangar,Temburong,Female,49,Higher National Diploma,254,Good,Good,29,40,"But even then, I still have to set up my work from home area when we're away on vacation because our hotel wifi is super unreliable and slow."
711,Kg. Salambigar,Mukim Berakas B,Brunei-Muara,Male,58,O Level,28,Excellent,Good,104,300,"I don't really pay bills with a traditional mail address, it's just easier to use my credit card online."
712,Kg. Peninjau,Mukim Sengkurong,Brunei-Muara,Male,47,Higher National Diploma,19,Good,Good,104,290,It's frustrating when streaming or loading videos takes an ages just because it doesn't work well at all in our house.
713,Kg. Burong Lepas,Mukim Kilanas,Brunei-Muara,Male,49,Bachelor Degree,49,Very Good,Good,47,80,I usually don't spend much time at home because I have access to Wi-Fi when I'm on the go with friends.
714,Kg. Kulapis,Mukim Sengkurong,Brunei-Muara,Male,54,Diploma,137,Good,Very Good,104,150,It's hard when we're traveling and they don't have reliable wifi at our hotel.
715,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Female,44,O Level,42,Very Good,Fair,104,620,I have family friends who live next door and I can just hang out with them whenever I want online if I'm on their internet.
716,Kg. Beribi,Mukim Gadong B,Brunei-Muara,Female,14,Lower Secondary,52,Fair,Very Good,104,130,It's hard when you're in the middle of a huge video upload and your internet keeps getting cutoff because it always says I've exceeded my data limit.
717,Kg. Orang Kaya Besar Imas,Mukim Berakas A,Brunei-Muara,Female,37,O Level,198,Fair,Very Good,104,190,It's hard to keep up with all the streaming services and games I want to play when you can only get so much data with your current plan.
718,Kg. Sungai Bakong,Mukim Liang,Belait,Female,45,Higher National Diploma,49,Good,Fair,104,260,I'd rather stick to free public Wi-Fi than pay extra for faster internet speeds at home.
719,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,34,O Level,920,Fair,Good,103,130,"It's hard when they make it so expensive for new users, even just to get started with online shopping or streaming, that I mostly avoid signing up."
720,Kg. Manggis,Mukim Berakas B,Brunei-Muara,Female,25,National Diploma,29,Very Good,Good,47,40,I'd love to upgrade my internet plan but it's just not worth the extra money in my budget right now.
721,Kg. Kilugus,Mukim Lumapas,Brunei-Muara,Female,66,Bachelor Degree,249,Good,Good,103,310,It's hard when you do have internet at home but your job requires you be available online all the time since we can't afford two separate providers.
722,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Male,36,O Level,167,Very Good,Good,103,680,I'm not sure if it's worth switching to this new internet service just because of the super steep one-time fee that's gonna be stuck on my bill for years.
723,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Male,47,O Level,64,Fair,Good,47,170,It's really frustrating to upload videos I make on Sundays and have to wait until Monday morning just to download what happened over the weekend because our internet is so slow.
724,Kg. Kota Batu,Mukim Kota Batu,Brunei-Muara,Male,60,Lower Secondary,141,Fair,Fair,103,150,It's really frustrating when streaming doesn't buffer just one more time because we still get those painfully slow uploads from our area.
725,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Male,18,Master Degree,890,Excellent,Good,29,100,It's super frustrating when uploads take so long that I've to stop mid upload.
726,Kg. Bebatik,Mukim Pangkalan Batu,Brunei-Muara,Male,12,Lower Secondary,49,Good,Good,47,280,I don't know how to troubleshoot technical issues on my phone because I've never dealt with anything like that before.
727,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,25,Master Degree,196,Very Poor,Very Good,103,340,I rarely update my software that I live with my roommate already did last year
728,Kg. Sengkarai,Mukim Pekan Tutong,Tutong,Male,42,PhD,189,Excellent,Excellent,103,270,I'm always having to pause streaming mid episode just because I run out of data halfway through it is really annoying.
729,Kg. Sungai Orok,Mukim Berakas B,Brunei-Muara,Male,30,O Level,49,Good,Good,103,230,I rarely use video calls because it's impossible to get a decent connection where I live.
730,STKRJ Lambak Kiri,Mukim Berakas A,Brunei-Muara,Female,41,O Level,20,Fair,Good,29,120,I wish there was better internet out here – it's hard to even video call with family when I'm 30 minutes away from civilization.
731,Kg. Jaya Setia,Mukim Berakas A,Brunei-Muara,Female,44,A Level,56,Good,Good,103,120,It's frustrating when I'm not sure how to fix my router or set up a new streaming device because I just don't know what I'm doing yet.
732,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Male,28,O Level,23,Good,Good,28,170,"It's really frustrating to sign up for a new service when they want me to pay almost as much just to get started, which feels unfair compared to all the free stuff I can find elsewhere."
733,Kg. Kiarong,Mukim Gadong B,Brunei-Muara,Male,19,Bachelor Degree,186,Fair,Very Good,5,50,I usually skip streaming services and play games on my TV instead because that bill with all those services just eats into my meager paycheck every month.
734,Kg. Bolkiah B,Mukim Sungai Kebun,Brunei-Muara,Male,53,Bachelor Degree,132,Good,Good,103,510,It's kinda hard for me to justify the cost when my family can just do their stuff at work without any fees.
735,Kg. Kiarong,Mukim Gadong B,Brunei-Muara,Female,17,National Diploma,49,Good,Fair,102,750,I rarely buy from online retailers because one-time registration fees that can add up to hundreds of dollars are way out of my budget for things I only need once.
736,Kg. Penapar,Mukim Tanjong Maya,Tutong,Female,47,A Level,60,Good,Good,102,150,I don't trust what's out there because once something gets on your computer it's impossible to get rid of.
737,Kg. Sungai Teraban,Mukim Kuala Belait,Belait,Male,32,National Certificate,75,Excellent,Good,28,130,I really struggle to find good internet speeds when I'm traveling abroad because it's hard to know which equipment to bring with me.
738,Kg. Mentiri,Mukim Mentiri,Brunei-Muara,Male,28,Higher National Diploma,99,Very Good,Good,28,80,I never get around checking out new sites because their one-time fee plus shipping costs just seems ridiculously expensive all of a sudden.
739,Kg. Kulapis,Mukim Sengkurong,Brunei-Muara,Female,31,O Level,58,Good,Very Good,102,150,It's frustrating for me to try out a new app or website when the one-time charge is so expensive.
740,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Female,23,Bachelor Degree,62,Very Good,Good,102,330,I struggle to stay connected with family and friends who live far away because my tablet skills aren't good enough yet.
741,Kg. Kiulap,Mukim Gadong B,Brunei-Muara,Male,36,Master Degree,111,Fair,Good,102,350,"I've had to resort to streaming only when we have family emergencies, it's hard to stay caught up on everything I need to see with this slow data connection."
742,Kg. Lumapas,Mukim Lumapas,Brunei-Muara,Female,42,Bachelor Degree,158,Excellent,Good,102,310,"It's really expensive to stay connected, and it feels like banks are raking in all the profits while I can barely afford to turn on my computer."
743,Pekan Seria Kawasan 2,Mukim Seria,Belait,Female,38,O Level,58,Fair,Good,102,350,It's really frustrating when there are dead spots in our neighborhood that make it hard to get any steady connection.
744,Kg. Mulaut,Mukim Sengkurong,Brunei-Muara,Male,41,Higher National Diploma,879,Good,Excellent,102,220,I rarely buy things online because one-time fees can add up quickly enough for me to just forget about it.
745,Kg. Petani,Mukim Pekan Tutong,Tutong,Female,18,Higher National Diploma,52,Fair,Very Good,102,660,"It's frustrating to get buffering just to upload one photo, because they don't seem to offer any decent plans for someone with a large family who needs more space."
746,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Male,25,O Level,36,Fair,Good,102,280,It's hard to actually use my smartphone as often as I need to when I'm always running out of data on my old plan.
747,Kg. Serusop,Mukim Berakas A,Brunei-Muara,Male,43,Lower Secondary,55,Fair,Good,28,90,I have to limit my online browsing to a single website because everything else is just too pricey for my budget.
748,Kg. Kiudang,Mukim Kiudang,Tutong,Female,38,O Level,51,Very Good,Very Good,102,320,It's super frustrating to want to use streaming services but can't afford another bill until next month.
749,Kg. Sinarubai,Mukim Kilanas,Brunei-Muara,Male,30,Bachelor Degree,-3,Very Good,Fair,101,280,I struggle to stream anything because my limited plan can only handle 2 hours of streaming after 10 pm and it's always at the lowest speed possible just to fit that time in.
750,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Male,54,Bachelor Degree,151,Very Good,Good,47,270,I rarely buy software or subscribe to services online because one-time fees can add up really quickly.
751,Perumahan Negara Lambak Kanan Kawasan 1,Mukim Berakas B,Brunei-Muara,Female,28,O Level,56,Good,Good,101,620,It's hard when you need to use more than one site daily and dealing with every year renewal would add up way too quickly honestly.
752,Kg. Pangkalan Gadong,Mukim Gadong B,Brunei-Muara,Female,34,Bachelor Degree,137,Good,Very Good,28,90,"I used to use public WiFi all the time, but now I avoid it because it's never reliable and always drops me off mid-sentence."
753,Kg. Meragang,Mukim Serasa,Brunei-Muara,Female,39,National Diploma,470,Fair,Fair,47,670,I never bother with certain websites that just seem like a waste of time to me - I've got more productive things to do online.
754,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,49,Higher National Diploma,56,Good,Good,28,30,It's super frustrating when you try to set up your new router and it says there's no internet service available in your area.
755,STKRJ Rimba,Mukim Gadong A,Brunei-Muara,Male,37,Master Degree,48,Fair,Fair,5,110,I only do very quick searches on my work computer because I don't want to risk downloading something malicious that could affect my job.
756,Kg. Tanjong Nangka,Mukim Sengkurong,Brunei-Muara,Female,53,Bachelor Degree,29,Good,Very Good,101,540,It's hard for me to use any online resources when I don't know how to use technology well enough to even begin navigating them properly.
757,Perumahan Negara Lambak Kanan Kawasan 3,Mukim Berakas B,Brunei-Muara,Female,36,Lower Secondary,170,Good,Very Good,47,100,I have to pass on buying new software because one-time registration fees are way out of my budget for most programs.
758,Kg. Tungku,Mukim Gadong A,Brunei-Muara,Male,60,Bachelor Degree,338,Fair,Fair,101,230,It's really frustrating on calls when they cut in and out all the time because my phone can't get a reliable signal outside.
759,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,25,A Level,247,Excellent,Very Good,101,140,I've mostly stopped using streaming services because I don't feel it's worth paying extra just to keep up with a bunch of newer shows.
